LAST SEEN   TYPE      REASON                    OBJECT                                           MESSAGE
12m         Warning   RolloutAborted            rollout/tcc-api-bluegreen                        Rollout aborted update to revision 6: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
12m         Warning   AnalysisRunFailed         analysisrun/tcc-api-canary-b669fbb57-11-2        Analysis Completed. Result: Failed
12m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'latency-p95' Completed. Result: Successful
12m         Warning   MetricFailed              analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'error-rate' Completed. Result: Failed
12m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'success-rate' Completed. Result: Successful
12m         Warning   AnalysisRunFailed         rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-b669fbb57-11-2' Status New: 'Failed' Previous: 'Running'
12m         Warning   RolloutAborted            rollout/tcc-api-canary                           Rollout aborted update to revision 11: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
12m         Normal    ScalingReplicaSet         rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-b669fbb57 (revision 11) from 1 to 0
12m         Normal    SuccessfulDelete          replicaset/tcc-api-canary-b669fbb57              Deleted pod: tcc-api-canary-b669fbb57-gw924
12m         Normal    Killing                   pod/tcc-api-canary-b669fbb57-gw924               Stopping container tcc-api
12m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-r927n
12m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-f8jbt
12m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-mphsd
12m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-6hbwq
12m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-6hbwq           Stopping container tcc-api
12m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-f8jbt           Stopping container tcc-api
12m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-r927n           Stopping container tcc-api
12m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-mphsd           Stopping container tcc-api
12m         Normal    ScalingReplicaSet         rollout/tcc-api-bluegreen                        Scaled down ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 6) from 4 to 0
8m26s       Normal    SwitchService             rollout/tcc-api-bluegreen                        Switched selector for service 'tcc-api-preview' from '787bdcb856' to '86c5dc54d7'
8m26s       Normal    RolloutUpdated            rollout/tcc-api-bluegreen                        Rollout updated to revision 7
5m27s       Normal    RolloutUpdated            rollout/tcc-api-canary                           Rollout updated to revision 12
5m24s       Normal    SuccessfulCreate          replicaset/tcc-api-canary-787bdcb856             Created pod: tcc-api-canary-787bdcb856-v9s66
5m23s       Normal    Pulled                    pod/tcc-api-canary-787bdcb856-v9s66              Container image "gabrieldores/tcc-api:v1" already present on machine
5m23s       Normal    Created                   pod/tcc-api-canary-787bdcb856-v9s66              Created container: tcc-api
5m23s       Normal    Started                   pod/tcc-api-canary-787bdcb856-v9s66              Started container tcc-api
4m59s       Normal    Killing                   pod/tcc-api-canary-86c5dc54d7-74d5r              Stopping container tcc-api
4m59s       Normal    SuccessfulCreate          replicaset/tcc-api-canary-86c5dc54d7             Created pod: tcc-api-canary-86c5dc54d7-qpjhd
4m58s       Normal    Started                   pod/tcc-api-canary-86c5dc54d7-qpjhd              Started container tcc-api
4m58s       Normal    Pulled                    pod/tcc-api-canary-86c5dc54d7-qpjhd              Container image "gabrieldores/tcc-api:v1" already present on machine
4m58s       Normal    Created                   pod/tcc-api-canary-86c5dc54d7-qpjhd              Created container: tcc-api
2m39s       Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'latency-p95' Completed. Result: Successful
2m39s       Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'success-rate' Completed. Result: Successful
2m19s       Warning   AnalysisRunFailed         analysisrun/tcc-api-canary-787bdcb856-12-2       Analysis Completed. Result: Failed
2m19s       Warning   MetricFailed              analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'error-rate' Completed. Result: Failed
2m18s       Warning   AnalysisRunFailed         rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-12-2' Status New: 'Failed' Previous: 'Running'
2m18s       Warning   RolloutAborted            rollout/tcc-api-canary                           Rollout aborted update to revision 12: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
2m17s       Normal    Killing                   pod/tcc-api-canary-787bdcb856-v9s66              Stopping container tcc-api
2m17s       Normal    SuccessfulDelete          replicaset/tcc-api-canary-787bdcb856             Deleted pod: tcc-api-canary-787bdcb856-v9s66
2m17s       Normal    ScalingReplicaSet         rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 12) from 1 to 0
